                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                       10000      1.0000000000000000E+000      2.0000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21 
                            log_star_age                               luminosity                           conv_mx1_top_r                           center_entropy                        planet_radius_cgs                           planet_age_cgs                          planet_mass_cgs                            Hydrogen_Mass                                 He4_Mass                             Time Step dt                                     mdot                                     T(1)                                  xa(1,1)                                  xa(2,1)                                  xa(3,1)                                  xa(4,1)                                  xa(5,1)                                  xa(6,1)                                  xa(7,1)                                  xa(8,1)                                   height 
                 4.9145572760128271E+000                  1.4123374590034439E-008                  4.5511346466699083E-002                  8.5503261377035926E+000                  3.2005344396380596E+009                  2.5903824136201753E+012                  4.7760000000087797E+028                  1.8865200000427514E+027                  4.5365900850772571E+026                  3.4258746843435085E+010                  0.0000000000000000E+000                  2.9363050097455078E+002                  7.9000000000000015E-001                  2.5540830215261670E-005                  1.8997445916978473E-001                  3.4416106108120402E-003                  1.0081585468366045E-003                  9.3604466091399777E-003                  2.0994599496976496E-003                  4.0903242835137518E-003                  0.0000000000000000E+000 
                 4.9427033055492302E+000                  1.3819804371132020E-008                  4.5342266450590460E-002                  8.5428189663340230E+000                  3.1880149224538560E+009                  2.7638210008386724E+012                  4.7760000000087797E+028                  1.8865200000427514E+027                  4.5365900850772571E+026                  3.5019117039621895E+010                  0.0000000000000000E+000                  2.9261265188583707E+002                  7.9000000000000015E-001                  2.5540830215261670E-005                  1.8997445916978473E-001                  3.4416106108120402E-003                  1.0081585468366045E-003                  9.3604466091399777E-003                  2.0994599496976496E-003                  4.0903242835137518E-003                  0.0000000000000000E+000 
                 4.9697043203122195E+000                  1.3522255806250551E-008                  4.5165209773514896E-002                  8.5352940287874191E+000                  3.1755890475983295E+009                  2.9411076937841084E+012                  4.7760000000087797E+028                  1.8865200000427514E+027                  4.5365900850772571E+026                  3.5784252907159447E+010                  0.0000000000000000E+000                  2.9159356674729503E+002                  7.9000000000000015E-001                  2.5540830215261670E-005                  1.8997445916978473E-001                  3.4416106108120402E-003                  1.0081585468366045E-003                  9.3604466091399777E-003                  2.0994599496976496E-003                  4.0903242835137518E-003                  0.0000000000000000E+000 
                 4.9956625527416616E+000                  1.3230306662980197E-008                  4.4989585741850927E-002                  8.5277574117671779E+000                  3.1632623405905638E+009                  3.1222606789143174E+012                  4.7760000000087797E+028                  1.8865200000427514E+027                  4.5365900850772571E+026                  3.6573822359170128E+010                  0.0000000000000000E+000                  2.9057126977450315E+002                  7.9000000000000015E-001                  2.5540830215261670E-005                  1.8997445916978473E-001                  3.4416106108120402E-003                  1.0081585468366045E-003                  9.3604466091399777E-003                  2.0994599496976496E-003                  4.0903242835137518E-003                  0.0000000000000000E+000 
                 5.0206849375420477E+000                  1.2944543349265972E-008                  4.4824561410114518E-002                  8.5202083263238357E+000                  3.1510294878509359E+009                  3.3074367256270557E+012                  4.7760000000087797E+028                  1.8865200000427514E+027                  4.5365900850772571E+026                  3.7393798622742989E+010                  0.0000000000000000E+000                  2.8954978641563986E+002                  7.9000000000000015E-001                  2.5540830215261670E-005                  1.8997445916978473E-001                  3.4416106108120402E-003                  1.0081585468366045E-003                  9.3604466091399777E-003                  2.0994599496976496E-003                  4.0903242835137518E-003                  0.0000000000000000E+000 
                 5.0448611219942547E+000                  1.2664526595638471E-008                  4.4651526455844116E-002                  8.5126471282351694E+000                  3.1388861966735601E+009                  3.4967753252965996E+012                  4.7760000000087797E+028                  1.8865200000427514E+027                  4.5365900850772571E+026                  3.8227969670775063E+010                  0.0000000000000000E+000                  2.8852752743870877E+002                  7.9000000000000015E-001                  2.5540830215261670E-005                  1.8997445916978473E-001                  3.4416106108120402E-003                  1.0081585468366045E-003                  9.3604466091399777E-003                  2.0994599496976496E-003                  4.0903242835137518E-003                  0.0000000000000000E+000 
                 5.0682567484534138E+000                  1.2389656996263419E-008                  4.4479825247566523E-002                  8.5050789398223170E+000                  3.1268355510302544E+009                  3.6903142938168052E+012                  4.7760000000087797E+028                  1.8865200000427514E+027                  4.5365900850772571E+026                  3.9075649388911530E+010                  0.0000000000000000E+000                  2.8750148969607113E+002                  7.9000000000000015E-001                  2.5540830215261670E-005                  1.8997445916978473E-001                  3.4416106108120402E-003                  1.0081585468366045E-003                  9.3604466091399777E-003                  2.0994599496976496E-003                  4.0903242835137518E-003                  0.0000000000000000E+000 
                 5.0909364670423569E+000                  1.2119855883355046E-008                  4.4309453518391502E-002                  8.4975065737983773E+000                  3.1148773958399739E+009                  3.8881505627579902E+012                  4.7760000000087797E+028                  1.8865200000427514E+027                  4.5365900850772571E+026                  3.9944180817280907E+010                  0.0000000000000000E+000                  2.8647167305348881E+002                  7.9000000000000015E-001                  2.5540830215261670E-005                  1.8997445916978473E-001                  3.4416106108120402E-003                  1.0081585468366045E-003                  9.3604466091399777E-003                  2.0994599496976496E-003                  4.0903242835137518E-003                  0.0000000000000000E+000 
                 5.1129583399782428E+000                  1.1855042229831468E-008                  4.4140400751436056E-002                  8.4899320865426429E+000                  3.1030111435623674E+009                  4.0903921562398027E+012                  4.7760000000087797E+028                  1.8865200000427514E+027                  4.5365900850772571E+026                  4.0834765847563576E+010                  0.0000000000000000E+000                  2.8543807763219604E+002                  7.9000000000000015E-001                  2.5540830215261670E-005                  1.8997445916978473E-001                  3.4416106108120402E-003                  1.0081585468366045E-003                  9.3604466091399777E-003                  2.0994599496976496E-003                  4.0903242835137518E-003                  0.0000000000000000E+000 
                 5.1343676688733844E+000                  1.1595205503686660E-008                  4.3972706838974439E-002                  8.4823593619656261E+000                  3.0912401520700302E+009                  4.2970882782671401E+012                  4.7760000000087797E+028                  1.8865200000427514E+027                  4.5365900850772571E+026                  4.1725914416413872E+010                  0.0000000000000000E+000                  2.8440094736291582E+002                  7.9000000000000015E-001                  2.5540830215261670E-005                  1.8997445916978473E-001                  3.4416106108120402E-003                  1.0081585468366045E-003                  9.3604466091399777E-003                  2.0994599496976496E-003                  4.0903242835137518E-003                  0.0000000000000000E+000 
